scenario,scope,industry,model,family,target,repeat,alpha,n,mae,wape,r2_original,bias,sse,nonpositive
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,ticket,1,1,228,1040.53974924766,0.0868172228361435,0.64242487051319,-0.000913945008237767,442130721.515061,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,amt,2,1,228,981081585.518745,0.138844261711918,0.889053106168673,-0.00934380839353389,2.1431487424362e+21,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,cnt,2,1,228,96312.3351185386,0.150143755885084,0.825676883630562,-0.00859462550798337,26033677325423.2,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,ticket,2,1,228,1063.6777355007,0.0887477360240938,0.607719608172504,0.00250250172358106,485042717.942438,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,amt,3,1,228,1055791184.21449,0.14941728563451,0.881246832521654,-0.00544921638291916,2.29394165760476e+21,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,cnt,3,1,228,106422.1228617,0.16590416187141,0.814113734575857,0.00196397380005882,27760535458902.1,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,ticket,3,1,228,1088.24968628332,0.0907978917515961,0.597412082940576,-0.000463291122473367,497787657.934119,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,amt,4,1,228,992937109.229281,0.140522074710444,0.902579655514612,-0.00451586455097347,1.88185790121335e+21,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,cnt,4,1,228,99341.8553912413,0.15486655231312,0.837846696190308,-0.00821375075985969,24216219148391.3,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,ticket,4,1,228,1050.46681692084,0.0876454857130922,0.614883634528583,0.00320878761551697,476184618.257732,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,amt,5,1,228,1059753991.36458,0.149978108547897,0.876289121814226,-0.0143116594771368,2.38970920098584e+21,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,cnt,5,1,228,101985.093041498,0.158987162907992,0.818830840524649,-0.00828537858608783,27056075736415.2,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,ticket,5,1,228,1125.30813109262,0.0938898555745027,0.557969932256054,-0.00309880893116953,546556672.057896,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,amt,6,1,228,962982838.416806,0.136282897584437,0.908511625149461,-0.00125166058867838,1.76727070706961e+21,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,cnt,6,1,228,95481.6875780115,0.148848838246571,0.849304052014981,-0.00279814253017242,22505160335571.8,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,ticket,6,1,228,1018.09307278181,0.0849443889400084,0.651165596401467,0.000421631464384897,431323081.036553,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,amt,7,1,228,1033136635.67503,0.14621117707758,0.914927286227763,-0.00200550713288478,1.64334009939739e+21,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,cnt,7,1,228,111216.861323783,0.173378801960841,0.848146005796041,0.0114559796248986,22678104705886.5,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,ticket,7,1,228,1070.58821915697,0.0893243108257061,0.606887297855921,-0.00408390631849296,486071844.21675,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,amt,8,1,228,1017369311.94451,0.143979759777683,0.896346426505773,-0.00357731008915869,2.00226448899867e+21,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,cnt,8,1,228,96811.0488838876,0.150921213494734,0.853317265243921,0.00236220801764541,21905821014337.3,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,ticket,8,1,228,996.907523294838,0.0831767769174535,0.656937809011011,-0.00118324989969586,424185916.521061,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,amt,9,1,228,999658524.222938,0.141473300292728,0.868740868295015,-0.020618908809429,2.53551797019645e+21,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,cnt,9,1,228,96498.2493092447,0.150433582259147,0.799381631710979,-0.019287653404756,29960649937674.9,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,ticket,9,1,228,1042.65342711668,0.0869935771202454,0.614318443394213,0.001581471608555,476883459.825352,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,amt,0,1,228,467515273.891174,0.21741830782079,0.872318537068307,0.0442790916174282,1.29418876424007e+20,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,cnt,0,1,228,39621.4252563582,0.295326671931221,0.792938952146061,0.0953913503835615,930503282113.502,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,ticket,0,1,228,2135.88206231022,0.115002699317916,0.460028676402712,-0.000352065643756013,2042563601.59799,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,amt,1,1,228,462431002.725818,0.215053863929849,0.876786656318627,0.0353788587137949,1.24889957661428e+20,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,cnt,1,1,228,38628.6248535972,0.287926624180735,0.800068239392169,0.0836244283194433,898465266028.93,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,ticket,1,1,228,2040.59897755399,0.109872354277024,0.491182566101274,-0.00138466889005802,1924716970.92406,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,amt,2,1,228,437967340.050556,0.203677020350633,0.882256498637388,0.028220105264588,1.19345684978015e+20,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,cnt,2,1,228,36223.2282230352,0.269997491723177,0.815409335004871,0.0737303970126824,829524535907.124,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,ticket,2,1,228,1986.69064340986,0.106969757709683,0.511205632306234,0.000322619424195886,1848975196.43468,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,amt,3,1,228,451304802.036224,0.209879616452815,0.876825997731435,0.0340075093940529,1.24850080914048e+20,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,cnt,3,1,228,36914.0390713347,0.275146596467448,0.80538294299328,0.0840824420763782,874581734116.243,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,ticket,3,1,228,2027.69277029988,0.109177442934132,0.488479874346671,0.000417368980133845,1934940513.47724,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,amt,4,1,228,429624384.372921,0.19979712292919,0.885773079631519,0.0277138918627134,1.15781252438908e+20,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,cnt,4,1,228,35451.6212437394,0.264246155930486,0.822284904707419,0.0742164172175392,798626690846.791,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,ticket,4,1,228,1969.05865472539,0.10602039522903,0.510083709014455,0.000497579820867902,1853219124.91649,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,amt,5,1,228,467907740.454362,0.217600824672772,0.873776492020123,0.028654816494618,1.27941082487375e+20,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,cnt,5,1,228,38158.3240136729,0.284421137415363,0.809695565976961,0.073981718019731,855201411827.599,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,ticket,5,1,228,2059.77984087602,0.110905113105896,0.492733764857593,-0.00135387879632191,1918849210.95231,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,amt,6,1,228,470294738.548225,0.218710899819665,0.868794748363817,0.0302546030102821,1.32990614751713e+20,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,cnt,6,1,228,38698.8466197282,0.28845003696446,0.788691162773223,0.0752214885822142,949592251256.27,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,ticket,6,1,228,2090.48024821248,0.112558120908225,0.463088928237601,0.00252155886294608,2030987507.20834,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,amt,7,1,228,457211268.338589,0.212626422772045,0.872761576837678,0.0360661888145522,1.28969808032663e+20,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,cnt,7,1,228,37959.3279387015,0.282937878088662,0.789310647114586,0.0893859969515628,946808375588.538,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,ticket,7,1,228,2059.47632226537,0.110888770696298,0.485397761624589,-0.00148017814213084,1946599301.61474,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,amt,8,1,228,462404962.903301,0.215041754092023,0.870001964692366,0.0348917717311279,1.3176697134057e+20,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,cnt,8,1,228,37524.0583168317,0.279693503915148,0.796228349394924,0.0846222663259013,915721192638.13,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,ticket,8,1,228,2049.20568979535,0.110335767101858,0.489407613117002,-0.000596912164931941,1931431131.84667,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,amt,9,1,228,447985427.847871,0.208335939145657,0.876422120220923,0.0265762746021742,1.2525945414978e+20,0
general_gu_aggregate,8021,스넥,M5,log_ridge_smear,cnt,9,1,228,37317.5887812526,0.278154539569387,0.798409689536146,0.0737245569246252,905918556256.975,0
