scope,model,family,target,repeat,wape_new,wape_old,mae_new,mae_old,r2_original_new,r2_original_old
8006,M3,log_ridge_smear,cnt,5,0.297285903631908,0.297285903633,173224.80425284,173224.804253,0.770585715054699,0.770585715053
8006,M3,log_ridge_smear,ticket,5,0.121667712598546,0.121667712599,1442.50574207052,1442.50574207,0.298283287278515,0.29828328728
8006,M3,log_ridge_smear,amt,6,0.285273900023837,0.285273900025,1831050632.86193,1831050632.87,0.765391705576873,0.765391705576
8006,M3,log_ridge_smear,cnt,6,0.300943814096499,0.300943814097,175356.22325543,175356.223256,0.745795835926369,0.745795835925
8006,M3,log_ridge_smear,ticket,6,0.119626308759538,0.119626308759,1418.30263430462,1418.3026343,0.314436788955551,0.314436788957
8006,M3,log_ridge_smear,amt,7,0.282266415344855,0.282266415346,1811746880.48811,1811746880.5,0.764176502379608,0.764176502378
8006,M3,log_ridge_smear,cnt,7,0.296875455119534,0.29687545512,172985.641001764,172985.641002,0.765469966003961,0.765469966002
8006,M3,log_ridge_smear,ticket,7,0.125819489819718,0.12581948982,1491.72966806886,1491.72966807,0.254117630346294,0.254117630347
8006,M3,log_ridge_smear,amt,8,0.278870130640214,0.278870130641,1789947587.74773,1789947587.75,0.758948290292819,0.75894829029
8006,M3,log_ridge_smear,cnt,8,0.289708344326237,0.289708344327,168809.454546033,168809.454546,0.756209375564345,0.756209375563
8006,M3,log_ridge_smear,ticket,8,0.122905797870859,0.122905797871,1457.1846168216,1457.18461682,0.280452607531173,0.28045260753
8006,M3,log_ridge_smear,amt,9,0.270349714401183,0.270349714402,1735258695.61486,1735258695.62,0.804574419944047,0.804574419942
8006,M3,log_ridge_smear,cnt,9,0.284497500925845,0.284497500927,165773.16080658,165773.160807,0.793734262153928,0.793734262152
8006,M3,log_ridge_smear,ticket,9,0.121996957156575,0.121996957157,1446.40930165391,1446.40930165,0.30544425331134,0.305444253311
8006,M4,log_ridge_smear,amt,0,0.232835115168154,0.232835115168,1494468596.48045,1494468596.48,0.840151182114787,0.840151182114
8006,M4,log_ridge_smear,cnt,0,0.275136508857946,0.275136508858,160318.626976473,160318.626977,0.725750071585798,0.725750071585
8006,M4,log_ridge_smear,ticket,0,0.106164904027655,0.106164904028,1258.70274368985,1258.70274369,0.490667058446996,0.490667058447
8006,M4,log_ridge_smear,amt,1,0.236106935610733,0.236106935611,1515469006.58279,1515469006.59,0.847121969105307,0.847121969104
8006,M4,log_ridge_smear,cnt,1,0.274074796029889,0.27407479603,159699.980096261,159699.980096,0.761893381446417,0.761893381444
8006,M4,log_ridge_smear,ticket,1,0.102239169538925,0.102239169539,1212.15880511411,1212.15880511,0.520208829748672,0.520208829749
8006,M4,log_ridge_smear,amt,2,0.234574551694929,0.234574551695,1505633292.41972,1505633292.42,0.84553883692087,0.845538836921
8006,M4,log_ridge_smear,cnt,2,0.279275989666307,0.279275989667,162730.65103808,162730.651038,0.739803261517874,0.739803261517
8006,M4,log_ridge_smear,ticket,2,0.104710177554583,0.104710177555,1241.45534710673,1241.45534711,0.505533149685397,0.505533149685
8006,M4,log_ridge_smear,amt,3,0.234819950840867,0.234819950841,1507208404.13318,1507208404.14,0.864153570849579,0.864153570849
8006,M4,log_ridge_smear,cnt,3,0.275786746421324,0.275786746422,160697.512329791,160697.51233,0.789061487465478,0.789061487464
8006,M4,log_ridge_smear,ticket,3,0.103856476169023,0.103856476169,1231.3337698667,1231.33376987,0.500330289512072,0.500330289512
8006,M4,log_ridge_smear,amt,4,0.229401703869715,0.22940170387,1472431004.08116,1472431004.09,0.818842185658336,0.818842185657
8006,M4,log_ridge_smear,cnt,4,0.273469150331476,0.273469150332,159347.077868902,159347.077869,0.744213128852333,0.74421312885
8006,M4,log_ridge_smear,ticket,4,0.10488002062082,0.104880020621,1243.46902512421,1243.46902512,0.501926540618536,0.501926540617
8006,M4,log_ridge_smear,amt,5,0.249258228580024,0.249258228581,1599881507.38417,1599881507.39,0.824313806291724,0.824313806291
8006,M4,log_ridge_smear,cnt,5,0.284792649109692,0.28479264911,165945.139988061,165945.139988,0.739191370704662,0.739191370703
