scope,industry,target,repeat,comparison,block,wape_gain_pp,sse_reduction
4004,대형할인점,cnt,0,sequential,7,-0.774133321476661,-0.0271551432431958
4004,대형할인점,cnt,0,sequential,8,-2.5978862706414,-0.0282739816488999
4004,대형할인점,cnt,0,sequential,9,5.08737345452968,0.0509756664229907
4004,대형할인점,cnt,0,sequential,10,-0.383238034381245,0.00524990371009126
4004,대형할인점,cnt,0,leave_one_block_out,1,10.2936481837769,0.266193345668199
4004,대형할인점,cnt,0,leave_one_block_out,2,1.32159739812177,0.0551955323401221
4004,대형할인점,cnt,0,leave_one_block_out,3,-0.686018058227877,-0.0322249205309864
4004,대형할인점,cnt,0,leave_one_block_out,4,-3.84408477769474,-0.0621826715283427
4004,대형할인점,cnt,0,leave_one_block_out,5,0.406515251245254,-0.0368985995124107
4004,대형할인점,cnt,0,leave_one_block_out,6,2.36844540341669,0.0343172973156292
4004,대형할인점,cnt,0,leave_one_block_out,7,-0.938110057801378,-0.0291008204670671
4004,대형할인점,cnt,0,leave_one_block_out,8,-0.188882590330508,-0.0887625592878765
4004,대형할인점,cnt,0,leave_one_block_out,9,5.08737345452968,0.0509756664229907
4004,대형할인점,cnt,1,sequential,2,5.9514595169425,0.119473469387076
4004,대형할인점,cnt,1,sequential,3,-1.77565951229975,-0.0965202619349672
4004,대형할인점,cnt,1,sequential,4,-0.87882902200882,-0.0191125824869744
4004,대형할인점,cnt,1,sequential,5,-0.496760325124257,-0.0151307985003413
4004,대형할인점,cnt,1,sequential,6,1.87932776729044,0.0307607456050645
4004,대형할인점,cnt,1,sequential,7,-0.263720350797797,-0.00730185218802504
4004,대형할인점,cnt,1,sequential,8,0.361984924830827,0.000689163347665334
4004,대형할인점,cnt,1,sequential,9,-0.143362011393128,-0.065653254125754
4004,대형할인점,cnt,1,sequential,10,-0.387975494005521,0.00802268576129928
4004,대형할인점,cnt,1,leave_one_block_out,1,7.97073289770828,0.179147278145119
4004,대형할인점,cnt,1,leave_one_block_out,2,-1.65677176701634,-0.0441340365856027
4004,대형할인점,cnt,1,leave_one_block_out,3,-0.47585131630512,-0.0014244783490307
4004,대형할인점,cnt,1,leave_one_block_out,4,-3.45975573447013,-0.19774508345732
4004,대형할인점,cnt,1,leave_one_block_out,5,-0.825724417032542,-0.0566522853720588
4004,대형할인점,cnt,1,leave_one_block_out,6,1.56992448977872,0.020303569038384
4004,대형할인점,cnt,1,leave_one_block_out,7,-0.132769347269673,0.0148142488100308
4004,대형할인점,cnt,1,leave_one_block_out,8,-2.72574016624098,-0.18785192590496
4004,대형할인점,cnt,1,leave_one_block_out,9,-0.143362011393128,-0.065653254125754
4004,대형할인점,cnt,2,sequential,2,5.92111436724752,0.122755322982593
4004,대형할인점,cnt,2,sequential,3,-1.69286297622886,-0.0841102437104801
4004,대형할인점,cnt,2,sequential,4,-2.86578144664921,-0.117199487073033
4004,대형할인점,cnt,2,sequential,5,0.00259106831508316,-0.00904507603219362
4004,대형할인점,cnt,2,sequential,6,2.32824153345988,0.0329964917128023
4004,대형할인점,cnt,2,sequential,7,-1.62717275819624,-0.0695483998277793
4004,대형할인점,cnt,2,sequential,8,0.609517634009438,0.0587518346405228
4004,대형할인점,cnt,2,sequential,9,5.38011519794322,0.171745382912346
4004,대형할인점,cnt,2,sequential,10,0.00701947089077337,0.0112794424205336
4004,대형할인점,cnt,2,leave_one_block_out,1,12.4937925021052,0.287711048886239
4004,대형할인점,cnt,2,leave_one_block_out,2,1.81799353395697,0.0446136269255875
4004,대형할인점,cnt,2,leave_one_block_out,3,-0.782189370745129,-0.0261226033206421
4004,대형할인점,cnt,2,leave_one_block_out,4,-3.57827183076583,-0.106865817977561
4004,대형할인점,cnt,2,leave_one_block_out,5,0.283253963644686,-0.0189644273071372
4004,대형할인점,cnt,2,leave_one_block_out,6,1.22943975139736,0.0202181647292843
4004,대형할인점,cnt,2,leave_one_block_out,7,-1.03782563970513,-0.0110663056642433
4004,대형할인점,cnt,2,leave_one_block_out,8,-1.07407802088431,-0.0152687908484583
4004,대형할인점,cnt,2,leave_one_block_out,9,5.38011519794322,0.171745382912346
4004,대형할인점,cnt,3,sequential,2,4.37257261721743,0.0750395198784858
4004,대형할인점,cnt,3,sequential,3,-1.09466781981437,-0.0658208644756331
4004,대형할인점,cnt,3,sequential,4,-1.85831754160372,-0.054048467155251
4004,대형할인점,cnt,3,sequential,5,0.269769379087281,-0.000753366107939968
4004,대형할인점,cnt,3,sequential,6,0.486089756048258,0.0046043122534114
4004,대형할인점,cnt,3,sequential,7,-0.457561728048772,-0.0170178514271646
4004,대형할인점,cnt,3,sequential,8,-0.572891475472803,-0.024513765542332
4004,대형할인점,cnt,3,sequential,9,3.27924836813484,0.0459475031824772
4004,대형할인점,cnt,3,sequential,10,-0.338258718416734,0.0291642286082369
4004,대형할인점,cnt,3,leave_one_block_out,1,7.19678314454766,0.0747718710874821
4004,대형할인점,cnt,3,leave_one_block_out,2,1.22077540493177,0.125905874080507
4004,대형할인점,cnt,3,leave_one_block_out,3,-0.73564147503119,0.022167867568653
4004,대형할인점,cnt,3,leave_one_block_out,4,-5.11174236457807,-0.182378337811928
4004,대형할인점,cnt,3,leave_one_block_out,5,1.15845268657284,-0.0277341264440369
4004,대형할인점,cnt,3,leave_one_block_out,6,-0.219487237803945,-0.0198930181513954
4004,대형할인점,cnt,3,leave_one_block_out,7,1.23301879455401,0.0499403928467809
4004,대형할인점,cnt,3,leave_one_block_out,8,-2.44676007924799,-0.211436095987577
4004,대형할인점,cnt,3,leave_one_block_out,9,3.27924836813484,0.0459475031824772
4004,대형할인점,cnt,4,sequential,2,3.91431195184068,0.0873538646221812
4004,대형할인점,cnt,4,sequential,3,-0.81675910266964,-0.0334177402752631
4004,대형할인점,cnt,4,sequential,4,-2.52506343678995,-0.0838927613534919
4004,대형할인점,cnt,4,sequential,5,-0.156293596767354,0.00398904422509838
4004,대형할인점,cnt,4,sequential,6,2.5433376283879,0.042811108149201
4004,대형할인점,cnt,4,sequential,7,-1.69583065313378,-0.0421307255239056
4004,대형할인점,cnt,4,sequential,8,0.17941461410611,-0.00943970324030441
4004,대형할인점,cnt,4,sequential,9,0.0250150030775442,-0.47029456258188
4004,대형할인점,cnt,4,sequential,10,0.727411326632965,0.0681889599678598
4004,대형할인점,cnt,4,leave_one_block_out,1,1.81347174220573,-0.401144964738918
4004,대형할인점,cnt,4,leave_one_block_out,2,-2.72415357183929,-0.100342683334809
4004,대형할인점,cnt,4,leave_one_block_out,3,-0.570739549707744,-0.0424758353302905
4004,대형할인점,cnt,4,leave_one_block_out,4,-6.16180312949119,-0.717984404153672
4004,대형할인점,cnt,4,leave_one_block_out,5,0.860391780687286,-0.0812475698789028
4004,대형할인점,cnt,4,leave_one_block_out,6,0.871334522500222,0.0769878358046072
4004,대형할인점,cnt,4,leave_one_block_out,7,-0.139137703913783,-0.0410630066314859
4004,대형할인점,cnt,4,leave_one_block_out,8,-3.37715435324731,-0.675894756283121
4004,대형할인점,cnt,4,leave_one_block_out,9,0.0250150030775442,-0.47029456258188
4004,대형할인점,cnt,5,sequential,2,3.37845711597692,0.0839029753029076
4004,대형할인점,cnt,5,sequential,3,-1.03593148056391,-0.0864645971959721
4004,대형할인점,cnt,5,sequential,4,-1.52074371293784,-0.0380251158360505
4004,대형할인점,cnt,5,sequential,5,-0.896738208051084,-0.0274113531575011
4004,대형할인점,cnt,5,sequential,6,2.12275148936156,0.0407674224055095
4004,대형할인점,cnt,5,sequential,7,-1.41706828396749,-0.0415623658235558
4004,대형할인점,cnt,5,sequential,8,0.249605047256951,-0.0105529376690976
4004,대형할인점,cnt,5,sequential,9,1.58047583246168,0.0579187030595651
4004,대형할인점,cnt,5,sequential,10,-0.532557757861207,0.0121492265553982
4004,대형할인점,cnt,5,leave_one_block_out,1,8.41078225315339,0.183952792000675
4004,대형할인점,cnt,5,leave_one_block_out,2,-1.34902206181397,0.0476327464400981
4004,대형할인점,cnt,5,leave_one_block_out,3,0.128309787807968,-0.0069002013285171
4004,대형할인점,cnt,5,leave_one_block_out,4,-2.89203638262785,-0.107165911978318
4004,대형할인점,cnt,5,leave_one_block_out,5,-0.535543223739432,-0.0594279422270902
4004,대형할인점,cnt,5,leave_one_block_out,6,0.364219701807411,-0.000784800711080447
4004,대형할인점,cnt,5,leave_one_block_out,7,-0.273454241439708,-6.60571507582475e-06
4004,대형할인점,cnt,5,leave_one_block_out,8,0.102190007095038,-0.0608117241800827
4004,대형할인점,cnt,5,leave_one_block_out,9,1.58047583246168,0.0579187030595651
4004,대형할인점,cnt,6,sequential,2,2.46263518635732,0.0634195978208011
4004,대형할인점,cnt,6,sequential,3,-1.20611573357673,-0.0832475765310683
4004,대형할인점,cnt,6,sequential,4,-2.8139563948106,-0.0471673852302354
4004,대형할인점,cnt,6,sequential,5,0.395647039703462,-0.000566387917899869
4004,대형할인점,cnt,6,sequential,6,2.35875974079013,0.0406139984147075
4004,대형할인점,cnt,6,sequential,7,-1.5827942023535,-0.038959312521456
4004,대형할인점,cnt,6,sequential,8,2.22542867085694,0.0390023269099539
4004,대형할인점,cnt,6,sequential,9,2.86137626984965,0.0678101800091599
4004,대형할인점,cnt,6,sequential,10,-0.826367864798699,-0.0154287100927804
4004,대형할인점,cnt,6,leave_one_block_out,1,9.80057872934453,0.177920971315342
4004,대형할인점,cnt,6,leave_one_block_out,2,-0.977067833588935,0.0147871321807858
4004,대형할인점,cnt,6,leave_one_block_out,3,-0.505655975339253,-0.0334919016102222
4004,대형할인점,cnt,6,leave_one_block_out,4,-4.24010370568375,-0.104301120149672
4004,대형할인점,cnt,6,leave_one_block_out,5,-0.79952911900778,-0.0663672737610743
4004,대형할인점,cnt,6,leave_one_block_out,6,-0.670292120619304,-0.0201747137722561
4004,대형할인점,cnt,6,leave_one_block_out,7,0.353898609080733,0.0399374911820726
4004,대형할인점,cnt,6,leave_one_block_out,8,0.818118917161736,-0.0546460891633149
4004,대형할인점,cnt,6,leave_one_block_out,9,2.86137626984965,0.0678101800091599
4004,대형할인점,cnt,7,sequential,2,3.40680114355725,0.0603356662499396
4004,대형할인점,cnt,7,sequential,3,-2.99603803096363,-0.187918918392399
4004,대형할인점,cnt,7,sequential,4,-0.888720854386871,0.026541179300054
4004,대형할인점,cnt,7,sequential,5,-0.770587524234645,-0.0189780078332615
4004,대형할인점,cnt,7,sequential,6,2.44106247562386,0.0587350598992443
4004,대형할인점,cnt,7,sequential,7,-0.256705120418033,-0.0173395020719018
4004,대형할인점,cnt,7,sequential,8,-2.54544962889062,-0.155400567115611
4004,대형할인점,cnt,7,sequential,9,5.92981945605384,0.0944957943362037
4004,대형할인점,cnt,7,sequential,10,-0.39578363962422,0.00227930152767142
4004,대형할인점,cnt,7,leave_one_block_out,1,11.6507870445365,0.126774124558154
4004,대형할인점,cnt,7,leave_one_block_out,2,1.40251752476502,0.05520845759806
4004,대형할인점,cnt,7,leave_one_block_out,3,-0.465179966524726,-0.0130267117104843
4004,대형할인점,cnt,7,leave_one_block_out,4,-3.06737573423718,-0.156042960363487
4004,대형할인점,cnt,7,leave_one_block_out,5,0.508354819456863,0.0204474429980375
4004,대형할인점,cnt,7,leave_one_block_out,6,0.108624593883222,-0.0385057457688294
4004,대형할인점,cnt,7,leave_one_block_out,7,0.715518139721227,0.00254985708363498
4004,대형할인점,cnt,7,leave_one_block_out,8,-2.87996397288672,-0.282935331463911
4004,대형할인점,cnt,7,leave_one_block_out,9,5.92981945605384,0.0944957943362037
4004,대형할인점,cnt,8,sequential,2,3.2031601469887,0.0583828211246588
4004,대형할인점,cnt,8,sequential,3,-2.4807248833051,-0.0949017077670737
4004,대형할인점,cnt,8,sequential,4,-2.57434654112081,-0.115785334220735
4004,대형할인점,cnt,8,sequential,5,-0.735267147418883,-0.0120825316601776
4004,대형할인점,cnt,8,sequential,6,3.00364368053753,0.0713222636670873
4004,대형할인점,cnt,8,sequential,7,-1.12630506217384,-0.0243303882319865
4004,대형할인점,cnt,8,sequential,8,2.05029697304469,0.0554704117684511
4004,대형할인점,cnt,8,sequential,9,-1.62865087146169,-0.391734277270604
4004,대형할인점,cnt,8,sequential,10,0.0986110908700932,0.0869752419572277
4004,대형할인점,cnt,8,leave_one_block_out,1,3.20868722412011,-0.280887444492185
4004,대형할인점,cnt,8,leave_one_block_out,2,0.712471247342994,0.151100453223658
4004,대형할인점,cnt,8,leave_one_block_out,3,-1.01405752730366,-0.057544641858978
4004,대형할인점,cnt,8,leave_one_block_out,4,-5.54146118006489,-0.562144708928343
4004,대형할인점,cnt,8,leave_one_block_out,5,-3.53602005221657,-0.376308505502319
4004,대형할인점,cnt,8,leave_one_block_out,6,-0.785980978909684,-0.111108992690355
